Date,AK,AL,CA,CT,DC,DE,FL,GA,HI,IL,KY,LA,MA,MD,ME,MI,MN,MS,NC,NH,NJ,NY,OH,OR,PA,PR,RI,SC,TX,VA,VI,WA,WI
2019-11-01,92.0,4715.0,180566.0,,21.0,5674.0,34428.0,49985.0,928.0,175.0,6.0,18395.0,3478.0,15906.0,423.0,2718.0,282.0,2199.0,3143.0,,88888.0,9348.0,1056.0,3.0,11679.0,9485.0,61.0,27137.0,39457.0,29853.0,74.0,27999.0,1138.0
2019-12-01,113.0,5410.0,180087.0,2151.0,24.0,8356.0,34955.0,48394.0,6393.0,402.0,9.0,8032.0,3534.0,18299.0,475.0,123.0,308.0,2529.0,3313.0,846.0,90511.0,10562.0,144.0,6.0,14398.0,11904.0,15.0,27075.0,40062.0,31008.0,23.0,27171.0,4.0
2020-01-01,144.0,7123.0,201561.0,1061.0,26.0,6066.0,34276.0,51451.0,2768.0,66.0,4.0,13882.0,4114.0,17988.0,413.0,813.0,266.0,2233.0,3625.0,2891.0,95945.0,10518.0,33.0,367.0,16720.0,12339.0,2.0,28064.0,43276.0,30358.0,25.0,31203.0,987.0
2020-02-01,117.0,4788.0,146517.0,2016.0,14.0,7017.0,34412.0,46318.0,2651.0,40.0,8.0,10089.0,3524.0,14168.0,667.0,163.0,253.0,3415.0,3792.0,1706.0,89238.0,10876.0,54.0,305.0,15023.0,9112.0,106.0,30409.0,38283.0,27721.0,62.0,23077.0,2.0
2020-03-01,272.0,4988.0,145034.0,2157.0,19.0,8086.0,34374.0,46024.0,4394.0,59.0,12.0,20008.0,4131.0,18465.0,834.0,170.0,261.0,2909.0,2814.0,1702.0,85599.0,10353.0,63.0,346.0,16518.0,12927.0,641.0,26172.0,41863.0,31784.0,62.0,26596.0,612.0
2020-04-01,156.0,5238.0,184249.0,,21.0,7898.0,34055.0,48072.0,4928.0,1465.0,2.0,12722.0,3414.0,19631.0,458.0,1049.0,263.0,2183.0,3376.0,,93317.0,8991.0,135.0,448.0,14253.0,17247.0,1.0,27106.0,45063.0,31888.0,62.0,27602.0,1021.0
2020-05-01,111.0,7494.0,173592.0,43.0,6.0,6420.0,32018.0,43679.0,1017.0,680.0,1.0,11595.0,3954.0,18905.0,558.0,2747.0,414.0,2008.0,4612.0,,85599.0,7561.0,46.0,468.0,13227.0,14785.0,2.0,25163.0,41685.0,26806.0,62.0,28298.0,968.0
2020-06-01,103.0,4267.0,192356.0,3.0,7.0,6859.0,34848.0,45483.0,2873.0,226.0,4.0,13785.0,2963.0,16560.0,421.0,377.0,330.0,2452.0,2591.0,,83946.0,6339.0,1744.0,1058.0,14407.0,11230.0,25.0,22731.0,39793.0,29604.0,2.0,26717.0,3.0
2020-07-01,125.0,7583.0,222256.0,1.0,4.0,5998.0,33527.0,50079.0,4618.0,404.0,4.0,10364.0,3903.0,18552.0,581.0,1082.0,380.0,3330.0,2912.0,,95316.0,6684.0,710.0,1098.0,16218.0,15446.0,850.0,28549.0,45178.0,29849.0,8.0,29619.0,40.0
2020-08-01,98.0,5902.0,221597.0,12.0,7.0,5932.0,38440.0,59640.0,2892.0,2031.0,6.0,8257.0,3306.0,16354.0,425.0,947.0,324.0,2316.0,3650.0,,107767.0,7180.0,35.0,889.0,16754.0,11983.0,121.0,31431.0,44494.0,31287.0,22.0,29320.0,102.0
2020-09-01,72.0,5602.0,227162.0,,9.0,6967.0,37105.0,56232.0,2647.0,1028.0,1.0,9399.0,4833.0,19804.0,602.0,529.0,320.0,5007.0,2952.0,,107599.0,8722.0,83.0,1033.0,16926.0,18066.0,2100.0,29653.0,45203.0,32697.0,8.0,30243.0,23.0
2020-10-01,135.0,7593.0,230125.0,128.0,9.0,5862.0,37935.0,59412.0,2003.0,1291.0,2.0,12732.0,3766.0,22209.0,713.0,660.0,398.0,3015.0,3427.0,,118805.0,9565.0,298.0,625.0,13642.0,14484.0,856.0,33762.0,50113.0,34950.0,8.0,32160.0,1284.0
2020-11-01,31.0,7888.0,219303.0,3.0,12.0,6738.0,39541.0,63217.0,4624.0,133.0,1.0,9413.0,3429.0,18989.0,630.0,237.0,343.0,2147.0,5139.0,,112276.0,10766.0,257.0,1354.0,13117.0,15490.0,452.0,31340.0,45713.0,35562.0,9.0,31022.0,1.0
2020-12-01,114.0,6230.0,227675.0,,12.0,6397.0,40721.0,60881.0,4875.0,384.0,1.0,10861.0,4069.0,20542.0,690.0,121.0,300.0,2672.0,2922.0,,104646.0,10360.0,75.0,699.0,16852.0,14162.0,930.0,28787.0,46747.0,33615.0,8.0,32115.0,13.0
2021-01-01,66.0,6344.0,214668.0,138.0,8.0,5770.0,45138.0,64098.0,937.0,95.0,2.0,10585.0,3547.0,20975.0,485.0,154.0,248.0,3156.0,3990.0,1682.0,106249.0,11760.0,24.0,666.0,13956.0,17303.0,425.0,31672.0,49357.0,36268.0,16.0,30439.0,1.0
2021-02-01,45.0,5123.0,206034.0,151.0,8.0,6480.0,39753.0,55964.0,2944.0,65.0,1.0,9068.0,1950.0,18093.0,650.0,164.0,225.0,3790.0,4200.0,,91617.0,12348.0,17.0,702.0,16025.0,14331.0,1130.0,28703.0,39688.0,31549.0,4.0,23376.0,1.0
2021-03-01,26.0,7665.0,238184.0,161.0,28.0,8160.0,45391.0,67823.0,3373.0,89.0,6.0,8086.0,3999.0,20300.0,960.0,213.0,289.0,4428.0,3954.0,,112803.0,12730.0,519.0,1380.0,21290.0,14764.0,333.0,35454.0,53482.0,37566.0,43.0,37749.0,3.0
