Date,Port,TEU
2019-09,HI,2778
2019-09,IL,177
2019-09,IN,0
2019-09,KY,20
2019-09,LA,12358
2019-09,MA,3345
2019-09,MD,18429
2019-09,ME,453
2019-09,MI,1250
2019-09,MN,328
2019-09,MS,2617
2019-09,NC,2953
2019-09,NJ,94300
2019-09,NY,9733
2019-09,OH,2876
2019-09,OR,49
2019-09,PA,14381
2019-09,PR,15447
2019-09,RI,2
2019-09,SC,28535
2019-09,TX,42010
2019-09,VA,33442
2019-09,VI,34
2019-09,WA,30863
2019-09,WI,6
2019-10,AK,161
2019-10,AL,6956
2019-10,CA,190793
2019-10,DC,39
2019-10,DE,6416
2019-10,FL,37522
2019-10,GA,52885
2019-10,HI,3019
2019-10,IL,264
2019-10,KY,15
2019-10,LA,12956
2019-10,MA,4946
2019-10,MD,18618
2019-10,ME,472
2019-10,MI,360
2019-10,MN,285
2019-10,MS,2529
2019-10,NC,3500
2019-10,NJ,100680
2019-10,NY,10636
2019-10,OH,113
2019-10,OR,4
2019-10,PA,13525
2019-10,PR,16059
2019-10,RI,1952
2019-10,SC,29519
2019-10,TX,44310
2019-10,VA,34049
2019-10,VI,70
2019-10,WA,29876
2019-10,WI,1673
2019-11,AK,92
2019-11,AL,4715
2019-11,CA,180566
2019-11,DC,21
2019-11,DE,5674
2019-11,FL,34428
2019-11,GA,49985
2019-11,HI,928
2019-11,IL,175
2019-11,KY,6
2019-11,LA,18395
2019-11,MA,3478
2019-11,MD,15906
2019-11,ME,423
2019-11,MI,2718
2019-11,MN,282
2019-11,MS,2199
2019-11,NC,3143
2019-11,NJ,88888
2019-11,NY,9348
2019-11,OH,1056
2019-11,OR,3
2019-11,PA,11679
2019-11,PR,9485
2019-11,RI,61
2019-11,SC,27137
2019-11,TX,39457
2019-11,VA,29853
2019-11,VI,74
2019-11,WA,27999
2019-11,WI,1138
2019-12,AK,113
2019-12,AL,5410
2019-12,CA,180087
2019-12,CT,2151
2019-12,DC,24
2019-12,DE,8356
2019-12,FL,34955
2019-12,GA,48394
2019-12,HI,6393
2019-12,IL,402
2019-12,KY,9
2019-12,LA,8032
2019-12,MA,3534
2019-12,MD,18299
2019-12,ME,475
2019-12,MI,123
2019-12,MN,308
2019-12,MS,2529
2019-12,NC,3313
2019-12,NH,846
2019-12,NJ,90511
2019-12,NY,10562
2019-12,OH,144
2019-12,OR,6
2019-12,PA,14398
2019-12,PR,11904
2019-12,RI,15
2019-12,SC,27075
2019-12,TX,40062
2019-12,VA,31008
2019-12,VI,23
2019-12,WA,27171
2019-12,WI,4
2020-01,AK,144
2020-01,AL,7123
2020-01,CA,201561
2020-01,CT,1061
2020-01,DC,26
2020-01,DE,6066
2020-01,FL,34276
2020-01,GA,51451
2020-01,HI,2768
2020-01,IL,66
2020-01,KY,4
2020-01,LA,13882
2020-01,MA,4114
2020-01,MD,17988
2020-01,ME,413
2020-01,MI,813
2020-01,MN,266
2020-01,MS,2233
2020-01,NC,3625
2020-01,NH,2891
2020-01,NJ,95945
2020-01,NY,10518
2020-01,OH,33
2020-01,OR,367
2020-01,PA,16720
2020-01,PR,12339
2020-01,RI,2
2020-01,SC,28064
2020-01,TX,43276
2020-01,VA,30358
2020-01,VI,25
2020-01,WA,31203
2020-01,WI,987
2020-02,AK,117
2020-02,AL,4788
2020-02,CA,146517
2020-02,CT,2016
2020-02,DC,14
2020-02,DE,7017
2020-02,FL,34412
2020-02,GA,46318
2020-02,HI,2651
2020-02,IL,40
2020-02,KY,8
2020-02,LA,10089
2020-02,MA,3524
2020-02,MD,14168
2020-02,ME,667
2020-02,MI,163
2020-02,MN,253
2020-02,MS,3415
2020-02,NC,3792
2020-02,NH,1706
2020-02,NJ,89238
2020-02,NY,10876
2020-02,OH,54
2020-02,OR,305
2020-02,PA,15023
2020-02,PR,9112
2020-02,RI,106
2020-02,SC,30409
2020-02,TX,38283
2020-02,VA,27721
2020-02,VI,62
2020-02,WA,23077
2020-02,WI,2
2020-03,AK,272
2020-03,AL,4988
2020-03,CA,145034
2020-03,CT,2157
2020-03,DC,19
2020-03,DE,8086
2020-03,FL,34374
2020-03,GA,46024
2020-03,HI,4394
2020-03,IL,59
2020-03,KY,12
2020-03,LA,20008
2020-03,MA,4131
2020-03,MD,18465
2020-03,ME,834
2020-03,MI,170
2020-03,MN,261
2020-03,MS,2909
2020-03,NC,2814
2020-03,NH,1702
2020-03,NJ,85599
2020-03,NY,10353
2020-03,OH,63
2020-03,OR,346
2020-03,PA,16518
2020-03,PR,12927
2020-03,RI,641
2020-03,SC,26172
2020-03,TX,41863
2020-03,VA,31784
2020-03,VI,62
2020-03,WA,26596
2020-03,WI,612
2020-04,AK,156
2020-04,AL,5238
2020-04,CA,184249
2020-04,CT,0
2020-04,DC,21
2020-04,DE,7898
2020-04,FL,34055
2020-04,GA,48072
2020-04,HI,4928
2020-04,IL,1465
2020-04,KY,2
2020-04,LA,12722
2020-04,MA,3414
2020-04,MD,19631
2020-04,ME,458
2020-04,MI,1049
2020-04,MN,263
2020-04,MS,2183
2020-04,NC,3376
2020-04,NH,0
2020-04,NJ,93317
2020-04,NY,8991
2020-04,OH,135
2020-04,OR,448
2020-04,PA,14253
2020-04,PR,17247
2020-04,RI,1
2020-04,SC,27106
2020-04,TX,45063
2020-04,VA,31888
2020-04,VI,62
2020-04,WA,27602
2020-04,WI,1021
2020-05,AK,111
2020-05,AL,7494
2020-05,CA,173592
2020-05,CT,43
2020-05,DC,6
2020-05,DE,6420
2020-05,FL,32018
2020-05,GA,43679
2020-05,HI,1017
2020-05,IL,680
2020-05,KY,1
2020-05,LA,11595
2020-05,MA,3954
2020-05,MD,18905
2020-05,ME,558
2020-05,MI,2747
2020-05,MN,414
2020-05,MS,2008
2020-05,NC,4612
2020-05,NJ,85599
2020-05,NY,7561
2020-05,OH,46
2020-05,OR,468
2020-05,PA,13227
2020-05,PR,14785
2020-05,RI,2
2020-05,SC,25163
2020-05,TX,41685
2020-05,VA,26806
2020-05,VI,62
2020-05,WA,28298
2020-05,WI,968
2020-06,AK,103
2020-06,AL,4267
2020-06,CA,192356
2020-06,CT,3
2020-06,DC,7
2020-06,DE,6859
2020-06,FL,34848
2020-06,GA,45483
2020-06,HI,2873
2020-06,IL,226
2020-06,KY,4
2020-06,LA,13785
2020-06,MA,2963
2020-06,MD,16560
2020-06,ME,421
2020-06,MI,377
2020-06,MN,330
2020-06,MS,2452
2020-06,NC,2591
2020-06,NJ,83946
2020-06,NY,6339
2020-06,OH,1744
2020-06,OR,1058
2020-06,PA,14407
2020-06,PR,11230
2020-06,RI,25
2020-06,SC,22731
2020-06,TX,39793
2020-06,VA,29604
2020-06,VI,2
2020-06,WA,26717
2020-06,WI,3
2020-07,AK,125
2020-07,AL,7583
2020-07,CA,222256
2020-07,CT,1
2020-07,DC,4
2020-07,DE,5998
2020-07,FL,33527
2020-07,GA,50079
2020-07,HI,4618
2020-07,IL,404
2020-07,KY,4
2020-07,LA,10364
2020-07,MA,3903
2020-07,MD,18552
2020-07,ME,581
2020-07,MI,1082
2020-07,MN,380
2020-07,MS,3330
2020-07,NC,2912
2020-07,NJ,95316
2020-07,NY,6684
2020-07,OH,710
2020-07,OR,1098
2020-07,PA,16218
2020-07,PR,15446
2020-07,RI,850
2020-07,SC,28549
2020-07,TX,45178
2020-07,VA,29849
2020-07,VI,8
2020-07,WA,29619
2020-07,WI,40
2020-08,AK,98
2020-08,AL,5902
2020-08,CA,221597
2020-08,CT,12
2020-08,DC,7
2020-08,DE,5932
2020-08,FL,38440
2020-08,GA,59640
2020-08,HI,2892
2020-08,IL,2031
2020-08,IN,0
2020-08,KY,6
2020-08,LA,8257
2020-08,MA,3306
2020-08,MD,16354
2020-08,ME,425
2020-08,MI,947
2020-08,MN,324
2020-08,MS,2316
2020-08,NC,3650
2020-08,NJ,107767
2020-08,NY,7180
2020-08,OH,35
2020-08,OR,889
2020-08,PA,16754
2020-08,PR,11983
2020-08,RI,121
2020-08,SC,31431
2020-08,TX,44494
2020-08,VA,31287
2020-08,VI,22
2020-08,WA,29320
2020-08,WI,102
2020-09,AK,72
2020-09,AL,5602
2020-09,CA,227162
2020-09,DC,9
2020-09,DE,6967
2020-09,FL,37105
2020-09,GA,56232
2020-09,HI,2647
2020-09,IL,1028
2020-09,KY,1
2020-09,LA,9399
2020-09,MA,4833
2020-09,MD,19804
2020-09,ME,602
2020-09,MI,529
2020-09,MN,320
2020-09,MS,5007
2020-09,NC,2952
2020-09,NJ,107599
2020-09,NY,8722
2020-09,OH,83
2020-09,OR,1033
2020-09,PA,16926
2020-09,PR,18066
2020-09,RI,2100
2020-09,SC,29653
2020-09,TX,45203
2020-09,VA,32697
2020-09,VI,8
2020-09,WA,30243
2020-09,WI,23
2020-10,AK,135
2020-10,AL,7593
2020-10,CA,230125
2020-10,CT,128
2020-10,DC,9
2020-10,DE,5862
2020-10,FL,37935
2020-10,GA,59412
2020-10,HI,2003
2020-10,IL,1291
2020-10,KY,2
2020-10,LA,12732
2020-10,MA,3766
2020-10,MD,22209
2020-10,ME,713
2020-10,MI,660
2020-10,MN,398
2020-10,MS,3015
2020-10,NC,3427
2020-10,NJ,118805
2020-10,NY,9565
2020-10,OH,298
2020-10,OR,625
2020-10,PA,13642
2020-10,PR,14484
2020-10,RI,856
2020-10,SC,33762
2020-10,TX,50113
2020-10,VA,34950
2020-10,VI,8
2020-10,WA,32160
2020-10,WI,1284
2020-11,AK,31
2020-11,AL,7888
2020-11,CA,219303
2020-11,CT,3
2020-11,DC,12
2020-11,DE,6738
2020-11,FL,39541
2020-11,GA,63217
2020-11,HI,4624
2020-11,IL,133
2020-11,KY,1
2020-11,LA,9413
2020-11,MA,3429
2020-11,MD,18989
2020-11,ME,630
2020-11,MI,237
2020-11,MN,343
2020-11,MS,2147
2020-11,NC,5139
2020-11,NJ,112276
2020-11,NY,10766
2020-11,OH,257
2020-11,OR,1354
2020-11,PA,13117
2020-11,PR,15490
2020-11,RI,452
2020-11,SC,31340
2020-11,TX,45713
2020-11,VA,35562
2020-11,VI,9
2020-11,WA,31022
2020-11,WI,1
2020-12,AK,114
2020-12,AL,6230
2020-12,CA,227675
2020-12,DC,12
2020-12,DE,6397
2020-12,FL,40721
2020-12,GA,60881
2020-12,HI,4875
2020-12,IL,384
2020-12,KY,1
2020-12,LA,10861
2020-12,MA,4069
2020-12,MD,20542
2020-12,ME,690
2020-12,MI,121
2020-12,MN,300
2020-12,MS,2672
2020-12,NC,2922
2020-12,NH,0
2020-12,NJ,104646
2020-12,NY,10360
2020-12,OH,75
2020-12,OR,699
2020-12,PA,16852
2020-12,PR,14162
2020-12,RI,930
2020-12,SC,28787
2020-12,TX,46747
2020-12,VA,33615
2020-12,VI,8
2020-12,WA,32115
2020-12,WI,13
2021-01,AK,66
2021-01,AL,6344
2021-01,CA,214668
2021-01,CT,138
2021-01,DC,8
2021-01,DE,5770
2021-01,FL,45138
2021-01,GA,64098
2021-01,HI,937
2021-01,IL,95
2021-01,KY,2
2021-01,LA,10585
2021-01,MA,3547
2021-01,MD,20975
2021-01,ME,485
2021-01,MI,154
2021-01,MN,248
2021-01,MS,3156
2021-01,NC,3990
2021-01,NH,1682
2021-01,NJ,106249
2021-01,NY,11760
2021-01,OH,24
2021-01,OR,666
2021-01,PA,13956
2021-01,PR,17303
2021-01,RI,425
2021-01,SC,31672
2021-01,TX,49357
2021-01,VA,36268
2021-01,VI,16
2021-01,WA,30439
2021-01,WI,1
2021-02,AK,45
2021-02,AL,5123
2021-02,CA,206034
2021-02,CT,151
2021-02,DC,8
2021-02,DE,6480
2021-02,FL,39753
2021-02,GA,55964
2021-02,HI,2944
2021-02,IL,65
2021-02,KY,1
2021-02,LA,9068
2021-02,MA,1950
2021-02,MD,18093
2021-02,ME,650
2021-02,MI,164
2021-02,MN,225
2021-02,MS,3790
2021-02,NC,4200
2021-02,NH,0
2021-02,NJ,91617
2021-02,NY,12348
2021-02,OH,17
2021-02,OR,702
2021-02,PA,16025
2021-02,PR,14331
2021-02,RI,1130
2021-02,SC,28703
2021-02,TX,39688
2021-02,VA,31549
2021-02,VI,4
2021-02,WA,23376
2021-02,WI,1
2021-03,AK,26
2021-03,AL,7665
2021-03,CA,238184
2021-03,CT,161
2021-03,DC,28
2021-03,DE,8160
2021-03,FL,45391
2021-03,GA,67823
2021-03,HI,3373
2021-03,IL,89
2021-03,KY,6
2021-03,LA,8086
2021-03,MA,3999
2021-03,MD,20300
2021-03,ME,960
2021-03,MI,213
2021-03,MN,289
2021-03,MS,4428
2021-03,NC,3954
2021-03,NJ,112803
2021-03,NY,12730
2021-03,OH,519
2021-03,OR,1380
2021-03,PA,21290
2021-03,PR,14764
2021-03,RI,333
2021-03,SC,35454
2021-03,TX,53482
2021-03,VA,37566
2021-03,VI,43
2021-03,WA,37749
2021-03,WI,3
