,,Weight,Weight,Weight,Weight,Weight,Weight,Value,Value,Value,Value,Value,Value,Item_Count,Item_Count,Item_Count,Item_Count,Item_Count,Item_Count
ENDUSE,,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","CAPITAL GOODS, EXCEPT AUTOMOTIVE",CONSUMER GOODS,"FOODS, FEEDS, AND BEVERAGES",INDUSTRIAL SUPPLIES AND MATERIALS,OTHER GOODS,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","CAPITAL GOODS, EXCEPT AUTOMOTIVE",CONSUMER GOODS,"FOODS, FEEDS, AND BEVERAGES",INDUSTRIAL SUPPLIES AND MATERIALS,OTHER GOODS,"AUTOMOTIVE VEHICLES, PARTS, AND ENGINES","CAPITAL GOODS, EXCEPT AUTOMOTIVE",CONSUMER GOODS,"FOODS, FEEDS, AND BEVERAGES",INDUSTRIAL SUPPLIES AND MATERIALS,OTHER GOODS
Date,District,,,,,,,,,,,,,,,,,,
2019-02,"PEMBINA, ND",36048,237273,4662,0,7820,0,92516895,254246587,88076139,230993616,583065833,122579748,3152,11311,8199,10650,24349,4190
2019-02,"PHILADELPHIA, PA",13311227,18889049,27054892,348373789,86819485,634345,408300647,505957905,1551286180,770134269,1277609025,270817060,10295,26271,36070,14229,15016,2037
2019-02,"PORT ARTHUR, TX",,0,0,,5330030,,,26269682,621367,,790619913,,,16,11,,199,
2019-02,"PORTLAND, ME",0,606777,704169,76662111,7249259,28871,34873940,123844524,215469230,161802891,350942198,111093820,3252,761,2612,7355,8158,577
2019-02,"PROVIDENCE, RI",0,3505,2668,0,24,4045,697596622,1177117,8661633,1515954,80894927,29601,13799,23,610,3,71,6
2019-02,"SAN DIEGO, CA",996177,625452,2127059,54035882,740802,617,1168302796,1086481090,780085976,385828686,201207666,146053858,16987,54382,62564,27381,27498,9548
2019-02,"SAN FRANCISCO, CA",20701920,48427852,105202367,157656166,297345370,1494751,711570938,2481900045,811391814,397300945,1389587971,174193577,10793,60039,67736,10427,18677,5558
2019-02,"SAN JUAN, PR",3416886,4811827,15494163,58002217,130514366,314814,126577681,75660874,752189474,76307310,461128395,16084976,970,2528,6734,2382,2913,342
2019-02,"SAVANNAH, GA",78514433,137815989,310946560,94405382,343545021,3385585,1539244807,2653204480,2976157118,387971716,1103628883,273423994,26512,66872,133278,6559,49102,5385
2019-02,"SEATTLE, WA",28727361,53794426,177114880,62662919,141721405,2285613,580567373,2026578212,1389186063,325024350,1341206164,161215117,10321,36222,91472,16778,44820,6801
2019-02,"ST. ALBANS, VT",0,0,0,0,0,0,13577647,544049051,45022947,47213778,235015083,17333968,782,7954,6375,2792,16273,1140
2019-02,"ST. LOUIS, MO",13551056,35734390,59764519,18294652,88453145,1217788,60537165,379811654,449051929,56612898,493712413,45641014,3981,13277,27402,1895,12319,2306
2019-02,"TAMPA, FL",12215602,42131217,46856807,114529436,175650930,233077,1032459274,442060600,369289326,185130206,487717726,32815907,16322,5865,29604,2731,7017,643
2019-02,U.S. VIRGIN ISLANDS,40875,0,62004,853681,87272,15608,187224,7843,1580546,1011967,91069593,148494,18,2,80,59,21,10
2019-02,VESSELS UNDER OWN POWER,,0,,,,0,,300137,,,,30904856,,4,,,,2
2019-02,"WASHINGTON, DC",1348,3174,684402,1686,10638,0,9284164,195276461,568539516,10875258,28616173,32092987,823,8183,3901,316,2485,466
2019-02,"WILMINGTON, NC",4112209,19079421,31693515,2245354,41081116,484304,33448839,335388295,314572938,13326755,229371475,13094822,1973,15143,17497,200,9092,686
2019-03,"ANCHORAGE, AK",24953,190530,3776,0,2689747,0,4956492,1243803135,77084890,1252001,88447597,68819247,569,24987,7546,14,3829,3083
2019-03,"BALTIMORE, MD",23048289,35281202,54749604,105503083,242406659,1076251,1488140524,822968264,418049926,299195699,828315340,26360589,10587,12854,24465,7788,12190,330
2019-03,"BOSTON, MA",3899008,7620114,22503129,85872352,41773951,422424,51056667,609677938,456976221,130060688,478460285,126959376,894,25712,19193,4579,9209,2064
2019-03,"BUFFALO, NY",183549,1306350,618920,312617,1850200,241741,832669923,558368937,437907972,301273868,1044405772,203330877,34843,34898,51982,26081,57014,9914
2019-03,"CHARLESTON, SC",102915876,83962394,95186162,39505710,320508332,1332113,738324489,1446582000,781753159,117185307,1106390703,52722187,31239,37805,42848,2613,33540,821
2019-03,"CHICAGO, IL",53254997,109449462,125327852,76350904,203928058,2699746,608983750,4722088784,6316493851,273598172,3335980541,976286644,27660,176080,109068,8795,73108,9804
2019-03,"CLEVELAND, OH",51480912,49938836,67724214,14546146,135269661,1269736,639413051,3845011486,2464753377,64400213,814586728,462352350,23968,191155,119731,1894,48747,19790
2019-03,"COLUMBIA-SNAKE, OR",4126763,4369276,7954259,5150528,17617019,237390,764832195,153726999,61327264,9456145,154245361,14898720,1299,4855,5575,351,2962,512
2019-03,"DALLAS-FORT WORTH, TX",25955165,28985421,52828335,5161199,46475226,229027,124373704,1637067001,1861663020,23099544,430694596,291115345,6660,47026,49641,1109,17475,4852
2019-03,"DETROIT, MI",18797919,12139472,6715262,6478837,28979231,1220991,4703603335,1918673200,1180378540,611707390,2649857820,623250775,240262,75310,72404,47673,138452,23079
2019-03,"DULUTH, MN",0,0,0,0,0,0,2019245,27565487,67976719,62917592,743789076,2467083,221,954,6157,2059,20914,80
